    1;    1;    0
    1;    2;    5
    1;    3;    6
    1;    4;    7
    1;    5;    7
    1;    6;   31
    1;    7;   31
    1;    8;   29
    1;    9;   28
    1;   10;   16
    1;   11;    1
    1;   12;    4
    1;   13;    5
    1;   14;    6
    1;   15;    6
    1;   16;   30
    1;   17;   30
    1;   18;   28
    1;   19;   27
    1;   20;   15
    1;   21;    2
    1;   22;    3
    1;   23;    4
    1;   24;    5
    1;   25;    7
    1;   26;   29
    1;   27;   27
    1;   28;   26
    1;   29;   25
    1;   30;   14
    1;   31;    3
    1;   32;    4
    1;   33;    5
    1;   34;    6
    1;   35;    7
    1;   36;    8
    1;   37;    9
    1;   38;   10
    1;   39;   11
    1;   40;   13
    1;   41;   12
    1;   42;   11
    1;   43;   12
    1;   44;   11
    1;   45;   10
    1;   46;    9
    1;   47;    8
    1;   48;   10
    1;   49;    9
    1;   50;    9
    1;   51;   24
    1;   52;   12
    1;   53;   23
    1;   54;   22
    1;   55;   21
    1;   56;   20
    1;   57;   19
    1;   58;   18
    1;   59;   17
    1;   60;   16
    1;   61;   15
    1;   62;    6
    1;   63;   13
    1;   64;   14
    1;   65;   15
    1;   66;   16
    1;   67;   17
    1;   68;   18
    1;   69;   19
    1;   70;   20
    1;   71;   21
    1;   72;   22
    1;   73;   23
    1;   74;   24
    1;   75;   25
    1;   76;   13
    1;   77;   12
    1;   78;   11
    1;   79;   10
    1;   80;   12
    1;   81;   13
    1;   82;   26
    1;   83;   14
    1;   84;   15
    1;   85;   16
    1;   86;   17
    1;   87;   11
    1;   88;   12
    1;   89;   18
    2;    1;    5
    2;    2;    0
    2;    3;    5
    2;    4;    6
    2;    5;    6
    2;    6;   32
    2;    7;   32
    2;    8;   30
    2;    9;   29
    2;   10;   17
    2;   11;    4
    2;   12;    1
    2;   13;    4
    2;   14;    5
    2;   15;    5
    2;   16;   31
    2;   17;   31
    2;   18;   29
    2;   19;   28
    2;   20;   16
    2;   21;    3
    2;   22;    2
    2;   23;    3
    2;   24;    4
    2;   25;    8
    2;   26;   30
    2;   27;   28
    2;   28;   27
    2;   29;   26
    2;   30;   15
    2;   31;    4
    2;   32;    5
    2;   33;    6
    2;   34;    7
    2;   35;    8
    2;   36;    9
    2;   37;   10
    2;   38;   11
    2;   39;   12
    2;   40;   14
    2;   41;   13
